step,generated_image_token_id,rank,prompt_index,absolute_position,token_id,token,attention
5,5156,5,9,11,2156,Ġlight,0.00354365655221045
5,5156,6,17,19,11,",",0.0031784409657120705
5,5156,7,14,16,24321,Ġrays,0.0031445364002138376
5,5156,8,6,8,285,Ġand,0.003032109932973981
5,5156,9,20,22,11,",",0.0030001478735357523
5,5156,10,19,21,14445,Ġpainting,0.0027996315620839596
6,11368,1,3,5,11,",",0.007738612126559019
6,11368,2,10,12,11,",",0.004935421049594879
6,11368,3,46,48,11,",",0.0047120158560574055
6,11368,4,15,17,11,",",0.004376816563308239
6,11368,5,9,11,2156,Ġlight,0.003278900170698762
6,11368,6,20,22,11,",",0.0030753423925489187
6,11368,7,17,19,11,",",0.002997564384713769
6,11368,8,6,8,285,Ġand,0.0029380887281149626
6,11368,9,19,21,14445,Ġpainting,0.002896259305998683
6,11368,10,14,16,24321,Ġrays,0.0027291676960885525
7,13770,1,3,5,11,",",0.0073125362396240234
7,13770,2,10,12,11,",",0.0048822155222296715
7,13770,3,46,48,11,",",0.004737116862088442
7,13770,4,15,17,11,",",0.004465977195650339
7,13770,5,9,11,2156,Ġlight,0.003301237942650914
7,13770,6,20,22,11,",",0.0030807973816990852
7,13770,7,17,19,11,",",0.0029702147003263235
7,13770,8,22,24,11,",",0.0028216589707881212
7,13770,9,19,21,14445,Ġpainting,0.0027417957317084074
7,13770,10,14,16,24321,Ġrays,0.0026966845616698265
8,10641,1,3,5,11,",",0.007419278379529715
8,10641,2,10,12,11,",",0.0050382595509290695
8,10641,3,46,48,11,",",0.004666249267756939
8,10641,4,15,17,11,",",0.004522609990090132
8,10641,5,9,11,2156,Ġlight,0.00317771197296679
8,10641,6,17,19,11,",",0.0029717993456870317
8,10641,7,22,24,11,",",0.0028852561954408884
8,10641,8,20,22,11,",",0.002881112275645137
8,10641,9,14,16,24321,Ġrays,0.002761759329587221
8,10641,10,19,21,14445,Ġpainting,0.0024171641562134027
9,4264,1,3,5,11,",",0.007597492076456547
9,4264,2,10,12,11,",",0.005120852496474981
9,4264,3,46,48,11,",",0.004503443371504545
9,4264,4,15,17,11,",",0.004207983147352934
9,4264,5,17,19,11,",",0.003115457482635975
9,4264,6,22,24,11,",",0.002850290620699525
9,4264,7,20,22,11,",",0.0026630277279764414
9,4264,8,9,11,2156,Ġlight,0.002553326776251197
9,4264,9,14,16,24321,Ġrays,0.0022701884154230356
9,4264,10,28,30,285,Ġand,0.002251362195238471
10,1386,1,3,5,11,",",0.007956650108098984
10,1386,2,10,12,11,",",0.005451158620417118
10,1386,3,46,48,11,",",0.0045409658923745155
10,1386,4,15,17,11,",",0.0038998464588075876
10,1386,5,17,19,11,",",0.0034605548717081547
10,1386,6,20,22,11,",",0.0026852069422602654
10,1386,7,22,24,11,",",0.002653340110555291
10,1386,8,28,30,285,Ġand,0.002310333075001836
10,1386,9,6,8,285,Ġand,0.002221193863078952
10,1386,10,9,11,2156,Ġlight,0.001985258888453245
11,143,1,3,5,11,",",0.007557444274425507
11,143,2,10,12,11,",",0.005120879039168358
11,143,3,46,48,11,",",0.00439882930368185
11,143,4,15,17,11,",",0.0038847934920340776
11,143,5,17,19,11,",",0.0033207733649760485
11,143,6,20,22,11,",",0.0027700860518962145
11,143,7,22,24,11,",",0.002489185892045498
11,143,8,6,8,285,Ġand,0.002281067194417119
11,143,9,14,16,24321,Ġrays,0.0022134860046207905
11,143,10,28,30,285,Ġand,0.002167006256058812
12,6002,1,3,5,11,",",0.007570089306682348
12,6002,2,10,12,11,",",0.0048612686805427074
12,6002,3,46,48,11,",",0.004288999363780022
12,6002,4,15,17,11,",",0.0038465100806206465
12,6002,5,20,22,11,",",0.0029720014426857233
12,6002,6,17,19,11,",",0.0028100844938308
12,6002,7,6,8,285,Ġand,0.0026216276455670595
12,6002,8,22,24,11,",",0.002383135724812746
12,6002,9,28,30,285,Ġand,0.0021168950479477644
12,6002,10,19,21,14445,Ġpainting,0.00208258512429893
13,15440,1,3,5,11,",",0.007925469428300858
13,15440,2,10,12,11,",",0.004859894514083862
13,15440,3,46,48,11,",",0.004425770603120327
13,15440,4,15,17,11,",",0.0040046293288469315
13,15440,5,20,22,11,",",0.00302301486954093
13,15440,6,17,19,11,",",0.0026759887114167213
13,15440,7,6,8,285,Ġand,0.0025322141591459513
13,15440,8,22,24,11,",",0.0024621125776320696
13,15440,9,14,16,24321,Ġrays,0.0021835037041455507
13,15440,10,19,21,14445,Ġpainting,0.00214985734783113
14,1338,1,3,5,11,",",0.007251220289617777
14,1338,2,10,12,11,",",0.004728540312498808
14,1338,3,46,48,11,",",0.004379405174404383
14,1338,4,15,17,11,",",0.004139521159231663
14,1338,5,20,22,11,",",0.002837053732946515
14,1338,6,17,19,11,",",0.0027620529290288687
14,1338,7,22,24,11,",",0.002735217334702611
14,1338,8,6,8,285,Ġand,0.0022745311725884676
14,1338,9,14,16,24321,Ġrays,0.002212556777521968
14,1338,10,28,30,285,Ġand,0.002012369455769658
15,4212,1,3,5,11,",",0.007206393871456385
15,4212,2,10,12,11,",",0.004843223374336958
15,4212,3,46,48,11,",",0.00439461087808013
15,4212,4,15,17,11,",",0.004206949379295111
15,4212,5,22,24,11,",",0.002944482257589698
15,4212,6,17,19,11,",",0.002789766062051058
15,4212,7,20,22,11,",",0.002627964597195387
15,4212,8,14,16,24321,Ġrays,0.0022234965581446886
15,4212,9,6,8,285,Ġand,0.002174493856728077
15,4212,10,28,30,285,Ġand,0.0021007745526731014
16,7606,1,3,5,11,",",0.007496986072510481
16,7606,2,10,12,11,",",0.005103836767375469
16,7606,3,46,48,11,",",0.004340232815593481
16,7606,4,15,17,11,",",0.004030200652778149
16,7606,5,17,19,11,",",0.0033014321234077215
16,7606,6,22,24,11,",",0.0026906535495072603
16,7606,7,20,22,11,",",0.0024518808349967003
16,7606,8,19,21,14445,Ġpainting,0.0021075850818306208
16,7606,9,14,16,24321,Ġrays,0.0020910620223730803
16,7606,10,6,8,285,Ġand,0.002074330812320113
17,1345,1,3,5,11,",",0.007408664561808109
17,1345,2,10,12,11,",",0.005179573781788349
17,1345,3,46,48,11,",",0.004192371852695942
17,1345,4,15,17,11,",",0.003744722343981266
17,1345,5,17,19,11,",",0.0034120308700948954
17,1345,6,20,22,11,",",0.002435250673443079
17,1345,7,22,24,11,",",0.002418332966044545
17,1345,8,6,8,285,Ġand,0.002135250950232148
17,1345,9,19,21,14445,Ġpainting,0.0020545257721096277
17,1345,10,14,16,24321,Ġrays,0.0018555674469098449
18,16012,1,3,5,11,",",0.007406656630337238
18,16012,2,10,12,11,",",0.005132162012159824
18,16012,3,46,48,11,",",0.004375331569463015
18,16012,4,15,17,11,",",0.003562516300007701
18,16012,5,17,19,11,",",0.0033399472013115883
18,16012,6,20,22,11,",",0.00260331854224205
18,16012,7,22,24,11,",",0.0023632869124412537
18,16012,8,19,21,14445,Ġpainting,0.00224371743388474
18,16012,9,6,8,285,Ġand,0.0022362652234733105
18,16012,10,28,30,285,Ġand,0.0018038611160591245
19,8703,1,3,5,11,",",0.007650081999599934
19,8703,2,10,12,11,",",0.004972080700099468
19,8703,3,46,48,11,",",0.004408640321344137
19,8703,4,15,17,11,",",0.003633691230788827
19,8703,5,17,19,11,",",0.0029052686877548695
19,8703,6,20,22,11,",",0.0028824678156524897
19,8703,7,22,24,11,",",0.002364035462960601
19,8703,8,6,8,285,Ġand,0.0022387669887393713
19,8703,9,19,21,14445,Ġpainting,0.002203150186687708
19,8703,10,28,30,285,Ġand,0.001919273636303842
20,7606,1,3,5,11,",",0.007459376938641071
20,7606,2,10,12,11,",",0.004777691792696714
20,7606,3,46,48,11,",",0.004390145186334848
20,7606,4,15,17,11,",",0.003700322937220335
20,7606,5,17,19,11,",",0.00305008003488183
20,7606,6,20,22,11,",",0.0029864718671888113
20,7606,7,22,24,11,",",0.002504738513380289
20,7606,8,19,21,14445,Ġpainting,0.0022526562679558992
20,7606,9,6,8,285,Ġand,0.002202539471909404
20,7606,10,27,29,81743,kowski,0.0020725338254123926
21,1028,1,3,5,11,",",0.0075758835300803185
21,1028,2,10,12,11,",",0.004782184027135372
21,1028,3,46,48,11,",",0.004134573508054018
21,1028,4,15,17,11,",",0.003942892886698246
21,1028,5,17,19,11,",",0.0027784048579633236
21,1028,6,20,22,11,",",0.0027146406937390566
21,1028,7,22,24,11,",",0.0026382242795079947
21,1028,8,6,8,285,Ġand,0.0021550485398620367
21,1028,9,28,30,285,Ġand,0.001988269854336977
21,1028,10,19,21,14445,Ġpainting,0.0017835840117186308
22,8718,1,3,5,11,",",0.0073118614964187145
22,8718,2,10,12,11,",",0.004825274460017681
22,8718,3,46,48,11,",",0.004119932185858488
22,8718,4,15,17,11,",",0.004072845913469791
22,8718,5,22,24,11,",",0.0028572233859449625
22,8718,6,17,19,11,",",0.00281606731005013
22,8718,7,20,22,11,",",0.002625902881845832
22,8718,8,6,8,285,Ġand,0.0023058289662003517
22,8718,9,28,30,285,Ġand,0.0021283975802361965
22,8718,10,19,21,14445,Ġpainting,0.001977254170924425
23,14739,1,3,5,11,",",0.007048897910863161
23,14739,2,10,12,11,",",0.004758876282721758
23,14739,3,46,48,11,",",0.0038973880000412464
23,14739,4,15,17,11,",",0.0038729915395379066
23,14739,5,17,19,11,",",0.003016724484041333
23,14739,6,22,24,11,",",0.002579708816483617
23,14739,7,20,22,11,",",0.0024924224708229303
23,14739,8,6,8,285,Ġand,0.0023038804065436125
23,14739,9,19,21,14445,Ġpainting,0.001939617795869708
23,14739,10,28,30,285,Ġand,0.0018363891867920756
24,8004,1,3,5,11,",",0.006932185962796211
24,8004,2,10,12,11,",",0.004769895691424608
24,8004,3,46,48,11,",",0.0038475494366139174
24,8004,4,15,17,11,",",0.003689251374453306
24,8004,5,17,19,11,",",0.002978269476443529
24,8004,6,20,22,11,",",0.002445710590109229
24,8004,7,6,8,285,Ġand,0.0023603306617587805
24,8004,8,22,24,11,",",0.0022866688668727875
24,8004,9,19,21,14445,Ġpainting,0.0019978925120085478
24,8004,10,28,30,285,Ġand,0.0017007646383717656
25,11199,1,3,5,11,",",0.007061790209263563
25,11199,2,10,12,11,",",0.005069431848824024
25,11199,3,46,48,11,",",0.004013563971966505
25,11199,4,15,17,11,",",0.003636980662122369
25,11199,5,17,19,11,",",0.003112307284027338
25,11199,6,20,22,11,",",0.0026327318046242
25,11199,7,22,24,11,",",0.0023166611790657043
25,11199,8,6,8,285,Ġand,0.002185587538406253
25,11199,9,19,21,14445,Ġpainting,0.0021340425591915846
25,11199,10,28,30,285,Ġand,0.0018727723509073257
26,11276,1,3,5,11,",",0.00662609376013279
26,11276,2,10,12,11,",",0.004866943694651127
26,11276,3,46,48,11,",",0.003925170283764601
26,11276,4,15,17,11,",",0.0035037966445088387
26,11276,5,17,19,11,",",0.0029744713101536036
26,11276,6,20,22,11,",",0.0027284373063594103
26,11276,7,22,24,11,",",0.0022887710947543383
26,11276,8,6,8,285,Ġand,0.002027773065492511
26,11276,9,19,21,14445,Ġpainting,0.0019004757050424814
26,11276,10,28,30,285,Ġand,0.001861850148998201
27,8129,1,3,5,11,",",0.006699167657643557
27,8129,2,10,12,11,",",0.00492048216983676
27,8129,3,46,48,11,",",0.003830626141279936
27,8129,4,15,17,11,",",0.0034648599103093147
27,8129,5,20,22,11,",",0.002799085807055235
27,8129,6,17,19,11,",",0.002694440307095647
27,8129,7,22,24,11,",",0.002366426168009639
27,8129,8,28,30,285,Ġand,0.0019273735815659165
27,8129,9,6,8,285,Ġand,0.0018412823555991054
27,8129,10,19,21,14445,Ġpainting,0.0016726277535781264
28,13508,1,3,5,11,",",0.0073296865448355675
28,13508,2,10,12,11,",",0.005028956104069948
28,13508,3,46,48,11,",",0.003790729446336627
28,13508,4,15,17,11,",",0.0036488622426986694
28,13508,5,17,19,11,",",0.0029198271222412586
28,13508,6,20,22,11,",",0.0026676638517528772
28,13508,7,22,24,11,",",0.0025598332285881042
28,13508,8,28,30,285,Ġand,0.0019428393570706248
28,13508,9,6,8,285,Ġand,0.001856340328231454
28,13508,10,19,21,14445,Ġpainting,0.0015653175069019198
29,6696,1,3,5,11,",",0.007488025352358818
29,6696,2,10,12,11,",",0.00512730423361063
29,6696,3,15,17,11,",",0.0038594810757786036
29,6696,4,46,48,11,",",0.0037897659931331873
29,6696,5,17,19,11,",",0.002737050410360098
29,6696,6,22,24,11,",",0.0027121577877551317
29,6696,7,20,22,11,",",0.0026057639624923468
29,6696,8,6,8,285,Ġand,0.002017742255702615
29,6696,9,28,30,285,Ġand,0.0017809730488806963
29,6696,10,40,42,285,Ġand,0.0015341920079663396
30,4501,1,3,5,11,",",0.0074262493290007114
30,4501,2,10,12,11,",",0.004743893165141344
30,4501,3,15,17,11,",",0.0038774001877754927
30,4501,4,46,48,11,",",0.003686203621327877
30,4501,5,17,19,11,",",0.002599896164610982
30,4501,6,22,24,11,",",0.0024943905882537365
30,4501,7,20,22,11,",",0.0024784530978649855
30,4501,8,6,8,285,Ġand,0.002024892019107938
30,4501,9,28,30,285,Ġand,0.0015695033362135291
30,4501,10,40,42,285,Ġand,0.0014774895971640944
31,8013,1,3,5,11,",",0.007312878500670195
31,8013,2,10,12,11,",",0.0046251267194747925
31,8013,3,15,17,11,",",0.00400550989434123
31,8013,4,46,48,11,",",0.0038324890192598104
31,8013,5,17,19,11,",",0.0025444531347602606
31,8013,6,20,22,11,",",0.0025090514682233334
31,8013,7,22,24,11,",",0.0023116166703402996
31,8013,8,6,8,285,Ġand,0.0020859623327851295
31,8013,9,28,30,285,Ġand,0.0016336643602699041
31,8013,10,33,35,285,Ġand,0.0014971045311540365
32,10098,1,3,5,11,",",0.007352342829108238
32,10098,2,10,12,11,",",0.00457459781318903
32,10098,3,15,17,11,",",0.004052265081554651
32,10098,4,46,48,11,",",0.0038563369307667017
32,10098,5,17,19,11,",",0.002545088529586792
32,10098,6,20,22,11,",",0.002484346507117152
32,10098,7,22,24,11,",",0.002186435041949153
32,10098,8,6,8,285,Ġand,0.0019464342622086406
32,10098,9,28,30,285,Ġand,0.0016031183768063784
32,10098,10,33,35,285,Ġand,0.0015521000605076551
33,14838,1,3,5,11,",",0.00731634022668004
33,14838,2,10,12,11,",",0.004679081030189991
33,14838,3,15,17,11,",",0.004008239135146141
33,14838,4,46,48,11,",",0.0037498127203434706
33,14838,5,17,19,11,",",0.0027014065999537706
33,14838,6,20,22,11,",",0.002509523881599307
33,14838,7,22,24,11,",",0.00216970918700099
33,14838,8,6,8,285,Ġand,0.0018687833799049258
33,14838,9,28,30,285,Ġand,0.0017141081625595689
33,14838,10,40,42,285,Ġand,0.0015219197375699878
34,3891,1,3,5,11,",",0.007002949248999357
34,3891,2,10,12,11,",",0.004789730068296194
34,3891,3,15,17,11,",",0.0038260852452367544
34,3891,4,46,48,11,",",0.003615541849285364
34,3891,5,17,19,11,",",0.002795184962451458
34,3891,6,20,22,11,",",0.002532072365283966
34,3891,7,22,24,11,",",0.0022222353145480156
34,3891,8,28,30,285,Ġand,0.0020512768533080816
34,3891,9,6,8,285,Ġand,0.0018966220086440444
34,3891,10,40,42,285,Ġand,0.0015657123876735568
35,7641,1,3,5,11,",",0.00709524704143405
35,7641,2,10,12,11,",",0.004946574103087187
35,7641,3,15,17,11,",",0.003688555210828781
35,7641,4,46,48,11,",",0.0035139857791364193
35,7641,5,17,19,11,",",0.0028630883898586035
35,7641,6,20,22,11,",",0.002606665948405862
35,7641,7,22,24,11,",",0.002285330556333065
35,7641,8,28,30,285,Ġand,0.002108404180034995
35,7641,9,6,8,285,Ġand,0.001972742145881057
35,7641,10,33,35,285,Ġand,0.0014750973787158728
36,6129,1,3,5,11,",",0.007073347922414541
36,6129,2,10,12,11,",",0.0049828472547233105
36,6129,3,15,17,11,",",0.003579973941668868
36,6129,4,46,48,11,",",0.003462692489847541
36,6129,5,17,19,11,",",0.00285919732414186
36,6129,6,20,22,11,",",0.0027671349234879017
36,6129,7,22,24,11,",",0.0023366177920252085
36,6129,8,28,30,285,Ġand,0.002022951375693083
36,6129,9,6,8,285,Ġand,0.0019645546562969685
36,6129,10,14,16,24321,Ġrays,0.0014568879269063473
37,2779,1,3,5,11,",",0.007374539040029049
37,2779,2,10,12,11,",",0.0049085491336882114
37,2779,3,15,17,11,",",0.003704341361299157
37,2779,4,46,48,11,",",0.0036152699030935764
37,2779,5,20,22,11,",",0.0027953602839261293
37,2779,6,17,19,11,",",0.0025742151774466038
37,2779,7,22,24,11,",",0.0023984622675925493
37,2779,8,14,16,24321,Ġrays,0.002026519738137722
37,2779,9,6,8,285,Ġand,0.0019736657850444317
37,2779,10,28,30,285,Ġand,0.0017704747151583433
38,5674,1,3,5,11,",",0.007191945798695087
38,5674,2,10,12,11,",",0.00479319179430604
38,5674,3,46,48,11,",",0.003816429991275072
38,5674,4,15,17,11,",",0.0036960842553526163
38,5674,5,20,22,11,",",0.0027665607631206512
38,5674,6,22,24,11,",",0.002464864170178771
38,5674,7,17,19,11,",",0.0023795911110937595
38,5674,8,6,8,285,Ġand,0.0018403142457827926
38,5674,9,28,30,285,Ġand,0.0017124689184129238
38,5674,10,14,16,24321,Ġrays,0.0015870454953983426
39,13210,1,3,5,11,",",0.007253922056406736
39,13210,2,10,12,11,",",0.004736830946058035
39,13210,3,46,48,11,",",0.003829717868939042
39,13210,4,15,17,11,",",0.003795511554926634
39,13210,5,20,22,11,",",0.0025891000404953957
39,13210,6,22,24,11,",",0.0024761557579040527
39,13210,7,17,19,11,",",0.002443671924993396
39,13210,8,6,8,285,Ġand,0.0017365753883495927
39,13210,9,28,30,285,Ġand,0.0016422515036538243
39,13210,10,33,35,285,Ġand,0.001529615605250001
40,10712,1,3,5,11,",",0.007567593362182379
40,10712,2,10,12,11,",",0.004768091719597578
40,10712,3,15,17,11,",",0.0038555471692234278
40,10712,4,46,48,11,",",0.003639203030616045
40,10712,5,17,19,11,",",0.0025620076339691877
40,10712,6,22,24,11,",",0.0024780489038676023
40,10712,7,20,22,11,",",0.0024421021807938814
40,10712,8,6,8,285,Ġand,0.00170023029204458
40,10712,9,28,30,285,Ġand,0.0016388831427320838
40,10712,10,33,35,285,Ġand,0.0015524051850661635
41,5747,1,3,5,11,",",0.007547676097601652
41,5747,2,10,12,11,",",0.004704528022557497
41,5747,3,15,17,11,",",0.003750841598957777
41,5747,4,46,48,11,",",0.0033564039040356874
41,5747,5,17,19,11,",",0.0030621776822954416
41,5747,6,22,24,11,",",0.00242602382786572
41,5747,7,20,22,11,",",0.0023293928243219852
41,5747,8,6,8,285,Ġand,0.0017496205400675535
41,5747,9,28,30,285,Ġand,0.0016330888029187918
41,5747,10,33,35,285,Ġand,0.0014588802587240934
42,11655,1,3,5,11,",",0.007565773092210293
42,11655,2,10,12,11,",",0.004592571873217821
42,11655,3,15,17,11,",",0.003671175567433238
42,11655,4,46,48,11,",",0.0032336576841771603
42,11655,5,17,19,11,",",0.003156922524794936
42,11655,6,20,22,11,",",0.002297874540090561
42,11655,7,22,24,11,",",0.002205881057307124
42,11655,8,6,8,285,Ġand,0.0020150323398411274
42,11655,9,28,30,285,Ġand,0.0015770609024912119
42,11655,10,33,35,285,Ġand,0.0013827981892973185
43,4549,1,3,5,11,",",0.0075155263766646385
43,4549,2,10,12,11,",",0.004513815976679325
43,4549,3,15,17,11,",",0.0036447569727897644
43,4549,4,46,48,11,",",0.003208693815395236
43,4549,5,17,19,11,",",0.003098536981269717
43,4549,6,20,22,11,",",0.002425406826660037
43,4549,7,6,8,285,Ġand,0.0021413685753941536
43,4549,8,22,24,11,",",0.0021377967204898596
43,4549,9,28,30,285,Ġand,0.0017022780375555158
43,4549,10,33,35,285,Ġand,0.0014011930907145143
44,2863,1,3,5,11,",",0.00754263112321496
44,2863,2,10,12,11,",",0.004496431443840265
44,2863,3,15,17,11,",",0.003714050864800811
44,2863,4,46,48,11,",",0.0034284102730453014
44,2863,5,17,19,11,",",0.002680547069758177
44,2863,6,20,22,11,",",0.0026030573062598705
44,2863,7,22,24,11,",",0.002187007339671254
44,2863,8,6,8,285,Ġand,0.002063552848994732
44,2863,9,28,30,285,Ġand,0.0015944615006446838
44,2863,10,33,35,285,Ġand,0.0014169077621772885
45,10434,1,3,5,11,",",0.007518101017922163
45,10434,2,10,12,11,",",0.004582067485898733
45,10434,3,46,48,11,",",0.0037705155555158854
45,10434,4,15,17,11,",",0.003725089132785797
45,10434,5,17,19,11,",",0.0026689006481319666
45,10434,6,20,22,11,",",0.002647604327648878
45,10434,7,22,24,11,",",0.002259183209389448
45,10434,8,6,8,285,Ġand,0.001808706670999527
45,10434,9,28,30,285,Ġand,0.0017573077930137515
45,10434,10,14,16,24321,Ġrays,0.001578029477968812
46,7462,1,3,5,11,",",0.007659825962036848
46,7462,2,10,12,11,",",0.004903222434222698
46,7462,3,46,48,11,",",0.0038297236897051334
46,7462,4,15,17,11,",",0.003611136693507433
46,7462,5,20,22,11,",",0.0026124229189008474
46,7462,6,17,19,11,",",0.0025941466446965933
46,7462,7,22,24,11,",",0.0023925781715661287
46,7462,8,6,8,285,Ġand,0.001949651399627328
46,7462,9,28,30,285,Ġand,0.0016425350913777947
46,7462,10,40,42,285,Ġand,0.0014666696079075336
47,8968,1,3,5,11,",",0.007690871134400368
47,8968,2,10,12,11,",",0.005119602661579847
47,8968,3,46,48,11,",",0.0036122638266533613
47,8968,4,15,17,11,",",0.0035098856315016747
47,8968,5,17,19,11,",",0.0025579186622053385
47,8968,6,20,22,11,",",0.002482131589204073
47,8968,7,22,24,11,",",0.0024816435761749744
47,8968,8,6,8,285,Ġand,0.0018861854914575815
47,8968,9,28,30,285,Ġand,0.0016338174464181066
47,8968,10,40,42,285,Ġand,0.001490922411903739
48,3874,1,3,5,11,",",0.007155114784836769
48,3874,2,10,12,11,",",0.0051577286794781685
48,3874,3,15,17,11,",",0.003380703739821911
48,3874,4,46,48,11,",",0.0033259859774261713
48,3874,5,17,19,11,",",0.0025094770826399326
48,3874,6,20,22,11,",",0.002427854109555483
48,3874,7,22,24,11,",",0.0023216165136545897
48,3874,8,6,8,285,Ġand,0.0018749772571027279
48,3874,9,28,30,285,Ġand,0.0015105970669537783
48,3874,10,19,21,14445,Ġpainting,0.0014814359601587057
49,9812,1,3,5,11,",",0.00733152823522687
49,9812,2,10,12,11,",",0.004924071487039328
49,9812,3,15,17,11,",",0.003412283258512616
49,9812,4,46,48,11,",",0.003324402729049325
49,9812,5,17,19,11,",",0.0026846539694815874
49,9812,6,20,22,11,",",0.0025671571493148804
49,9812,7,22,24,11,",",0.002375710988417268
49,9812,8,6,8,285,Ġand,0.0021897682454437017
49,9812,9,28,30,285,Ġand,0.001784510794095695
49,9812,10,19,21,14445,Ġpainting,0.0016068040858954191
50,3488,1,3,5,11,",",0.006760015152394772
50,3488,2,10,12,11,",",0.004755491390824318
50,3488,3,15,17,11,",",0.0034321940038353205
50,3488,4,46,48,11,",",0.003216093173250556
50,3488,5,17,19,11,",",0.002983436221256852
50,3488,6,20,22,11,",",0.002514227759093046
50,3488,7,22,24,11,",",0.0022184138651937246
50,3488,8,6,8,285,Ġand,0.0020232133101671934
50,3488,9,0,2,28222,Ġroman,0.001751679927110672
50,3488,10,28,30,285,Ġand,0.001654227962717414
51,16369,1,3,5,11,",",0.007154940161854029
51,16369,2,10,12,11,",",0.004888530354946852
51,16369,3,15,17,11,",",0.003689623437821865
51,16369,4,46,48,11,",",0.0034395635593682528
51,16369,5,17,19,11,",",0.0027117051649838686
51,16369,6,20,22,11,",",0.0024712930899113417
51,16369,7,22,24,11,",",0.0022365485783666372
51,16369,8,6,8,285,Ġand,0.0018239024793729186
51,16369,9,28,30,285,Ġand,0.0016227412270382047
51,16369,10,33,35,285,Ġand,0.0014381702058017254
52,956,1,3,5,11,",",0.007245155517011881
52,956,2,10,12,11,",",0.004969305358827114
52,956,3,15,17,11,",",0.0038280035369098186
52,956,4,46,48,11,",",0.0036440356634557247
52,956,5,17,19,11,",",0.0027310692239552736
52,956,6,20,22,11,",",0.002335752360522747
52,956,7,22,24,11,",",0.0022752946242690086
52,956,8,6,8,285,Ġand,0.0016782449092715979
52,956,9,28,30,285,Ġand,0.0016522359801456332
52,956,10,40,42,285,Ġand,0.0014295958681032062
53,3357,1,3,5,11,",",0.007633528672158718
53,3357,2,10,12,11,",",0.005079657770693302
53,3357,3,15,17,11,",",0.0038240498397499323
53,3357,4,46,48,11,",",0.003747327718883753
53,3357,5,17,19,11,",",0.002735774964094162
53,3357,6,20,22,11,",",0.0022573929745703936
53,3357,7,22,24,11,",",0.002202973933890462
53,3357,8,28,30,285,Ġand,0.0017237609717994928
53,3357,9,6,8,285,Ġand,0.0016561523079872131
53,3357,10,40,42,285,Ġand,0.0014626033371314406
54,9079,1,3,5,11,",",0.007550096604973078
54,9079,2,10,12,11,",",0.004927341360598803
54,9079,3,15,17,11,",",0.0037560472264885902
54,9079,4,46,48,11,",",0.0035420258063822985
54,9079,5,17,19,11,",",0.0027096683625131845
54,9079,6,20,22,11,",",0.002229672623798251
54,9079,7,22,24,11,",",0.0021143227349966764
54,9079,8,6,8,285,Ġand,0.0016946847317740321
54,9079,9,28,30,285,Ġand,0.001665149349719286
54,9079,10,40,42,285,Ġand,0.0014551045605912805
55,7334,1,3,5,11,",",0.007520019076764584
55,7334,2,10,12,11,",",0.004639023914933205
55,7334,3,15,17,11,",",0.0036200745962560177
