step,generated_token_id,generated_token,rank,prompt_index,absolute_position,token_id,token,attention
15,429,ĠThe,3,1,621,437,Ġthis,0.0023261515889316797
16,8247,Ġcolors,1,2,622,3324,Ġimage,0.004758243449032307
16,8247,Ġcolors,2,0,620,41800,Describe,0.0022978917695581913
16,8247,Ġcolors,3,1,621,437,Ġthis,0.001752030337229371
17,418,Ġare,1,2,622,3324,Ġimage,0.002981167985126376
17,418,Ġare,2,0,620,41800,Describe,0.002059678081423044
17,418,Ġare,3,1,621,437,Ġthis,0.0014195613330230117
18,2838,Ġsoft,1,2,622,3324,Ġimage,0.002583770314231515
18,2838,Ġsoft,2,0,620,41800,Describe,0.00219907914288342
18,2838,Ġsoft,3,1,621,437,Ġthis,0.0013944708043709397
19,285,Ġand,1,2,622,3324,Ġimage,0.0017352652503177524
19,285,Ġand,2,0,620,41800,Describe,0.0016130009898915887
19,285,Ġand,3,1,621,437,Ġthis,0.0008772208238951862
20,41490,Ġblended,1,2,622,3324,Ġimage,0.001991503406316042
20,41490,Ġblended,2,0,620,41800,Describe,0.0018331800820305943
20,41490,Ġblended,3,1,621,437,Ġthis,0.0010288371704518795
21,11,",",1,2,622,3324,Ġimage,0.0019247924210503697
21,11,",",2,0,620,41800,Describe,0.001557720242999494
21,11,",",3,1,621,437,Ġthis,0.0009094521519728005
22,17713,Ġfeaturing,1,2,622,3324,Ġimage,0.002812125952914357
22,17713,Ġfeaturing,2,0,620,41800,Describe,0.0021854473743587732
22,17713,Ġfeaturing,3,1,621,437,Ġthis,0.0014574016677215695
23,245,Ġa,1,2,622,3324,Ġimage,0.0019548675045371056
23,245,Ġa,2,0,620,41800,Describe,0.001476626843214035
23,245,Ġa,3,1,621,437,Ġthis,0.000990567496046424
24,5074,Ġmix,1,2,622,3324,Ġimage,0.001998551655560732
24,5074,Ġmix,2,0,620,41800,Describe,0.0013070119312033057
24,5074,Ġmix,3,1,621,437,Ġthis,0.0009200263302773237
25,280,Ġof,1,2,622,3324,Ġimage,0.0013075738679617643
25,280,Ġof,2,0,620,41800,Describe,0.001304654055275023
25,280,Ġof,3,1,621,437,Ġthis,0.000782971503213048
26,35193,Ġblues,1,2,622,3324,Ġimage,0.0014407341368496418
26,35193,Ġblues,2,0,620,41800,Describe,0.001195098739117384
26,35193,Ġblues,3,1,621,437,Ġthis,0.0007621204131282866
27,11,",",1,2,622,3324,Ġimage,0.0014149241615086794
27,11,",",2,0,620,41800,Describe,0.0011289234971627593
27,11,",",3,1,621,437,Ġthis,0.0006887670024298131
28,60070,Ġoranges,1,2,622,3324,Ġimage,0.0012618839973583817
28,60070,Ġoranges,2,0,620,41800,Describe,0.0011841034283861518
28,60070,Ġoranges,3,1,621,437,Ġthis,0.0007453405996784568
29,11,",",1,2,622,3324,Ġimage,0.0012046307092532516
29,11,",",2,0,620,41800,Describe,0.0010151328751817346
29,11,",",3,1,621,437,Ġthis,0.000590567709878087
30,265,Ġp,1,2,622,3324,Ġimage,0.0012189565459266305
30,265,Ġp,2,0,620,41800,Describe,0.0011216106358915567
30,265,Ġp,3,1,621,437,Ġthis,0.0006807147292420268
31,4059,inks,1,0,620,41800,Describe,0.0012526650680229068
31,4059,inks,2,2,622,3324,Ġimage,0.0007806030916981399
31,4059,inks,3,1,621,437,Ġthis,0.0004959300276823342
32,11,",",1,2,622,3324,Ġimage,0.0011797001352533698
32,11,",",2,0,620,41800,Describe,0.0011478557717055082
32,11,",",3,1,621,437,Ġthis,0.0006098706508055329
33,285,Ġand,1,0,620,41800,Describe,0.0014666903298348188
33,285,Ġand,2,2,622,3324,Ġimage,0.0013261254644021392
33,285,Ġand,3,1,621,437,Ġthis,0.0007703955052420497
34,10421,Ġyellow,1,2,622,3324,Ġimage,0.0012132108677178621
34,10421,Ġyellow,2,0,620,41800,Describe,0.001196106313727796
34,10421,Ġyellow,3,1,621,437,Ġthis,0.0006953369593247771
35,82,s,1,2,622,3324,Ġimage,0.0011706564109772444
35,82,s,2,0,620,41800,Describe,0.0010001570917665958
35,82,s,3,1,621,437,Ġthis,0.0005646324134431779
36,13,.,1,2,622,3324,Ġimage,0.0020968003664165735
36,13,.,2,0,620,41800,Describe,0.0012759733945131302
36,13,.,3,1,621,437,Ġthis,0.0009623741498216987
37,5067,ĠHer,1,2,622,3324,Ġimage,0.00369770685210824
37,5067,ĠHer,2,0,620,41800,Describe,0.003232379211112857
37,5067,ĠHer,3,1,621,437,Ġthis,0.0016562138916924596
38,5539,Ġhair,1,2,622,3324,Ġimage,0.0023745670914649963
38,5539,Ġhair,2,0,620,41800,Describe,0.0014992455253377557
38,5539,Ġhair,3,1,621,437,Ġthis,0.0008486380684189498
39,317,Ġis,1,2,622,3324,Ġimage,0.0014786494430154562
39,317,Ġis,2,0,620,41800,Describe,0.0011386421974748373
39,317,Ġis,3,1,621,437,Ġthis,0.0006754439091309905
40,1657,Ġvol,1,2,622,3324,Ġimage,0.0015144809149205685
40,1657,Ġvol,2,0,620,41800,Describe,0.0012316813226789236
40,1657,Ġvol,3,1,621,437,Ġthis,0.0007662477437406778
41,70550,uminous,1,0,620,41800,Describe,0.000993632129393518
41,70550,uminous,2,2,622,3324,Ġimage,0.0009352177148684859
41,70550,uminous,3,1,621,437,Ġthis,0.0005301395431160927
42,285,Ġand,1,2,622,3324,Ġimage,0.001214260351844132
42,285,Ġand,2,0,620,41800,Describe,0.0009657376212999225
42,285,Ġand,3,1,621,437,Ġthis,0.0005964193260297179
43,73993,Ġcascades,1,2,622,3324,Ġimage,0.0012761151883751154
43,73993,Ġcascades,2,0,620,41800,Describe,0.0010606327559798956
43,73993,Ġcascades,3,1,621,437,Ġthis,0.0005859147640876472
44,1983,Ġaround,1,2,622,3324,Ġimage,0.0014334883308038116
44,1983,Ġaround,2,0,620,41800,Describe,0.0010790379019454122
44,1983,Ġaround,3,1,621,437,Ġthis,0.0006118395831435919
45,711,Ġher,1,2,622,3324,Ġimage,0.001368480152450502
45,711,Ġher,2,0,620,41800,Describe,0.0010428165551275015
45,711,Ġher,3,1,621,437,Ġthis,0.0006086701760068536
46,17459,Ġshoulders,1,2,622,3324,Ġimage,0.0013100167270749807
46,17459,Ġshoulders,2,0,620,41800,Describe,0.0011005185078829527
46,17459,Ġshoulders,3,1,621,437,Ġthis,0.0006235406035557389
47,11,",",1,2,622,3324,Ġimage,0.0011214603437110782
47,11,",",2,0,620,41800,Describe,0.0009724042029120028
47,11,",",3,1,621,437,Ġthis,0.0006076645222492516
48,285,Ġand,1,2,622,3324,Ġimage,0.0017108331667259336
48,285,Ġand,2,0,620,41800,Describe,0.0013736592372879386
48,285,Ġand,3,1,621,437,Ġthis,0.0007639225223101676
49,711,Ġher,1,2,622,3324,Ġimage,0.0019626053981482983
49,711,Ġher,2,0,620,41800,Describe,0.0013841186882928014
49,711,Ġher,3,1,621,437,Ġthis,0.0008956942474469543
50,3545,Ġeyes,1,2,622,3324,Ġimage,0.0018533304100856185
50,3545,Ġeyes,2,0,620,41800,Describe,0.0010953641030937433
50,3545,Ġeyes,3,1,621,437,Ġthis,0.0006276426720432937
51,418,Ġare,1,2,622,3324,Ġimage,0.001867926912382245
51,418,Ġare,2,0,620,41800,Describe,0.001181748346425593
51,418,Ġare,3,1,621,437,Ġthis,0.000665772648062557
52,2317,Ġlarge,1,2,622,3324,Ġimage,0.0016674011712893844
52,2317,Ġlarge,2,0,620,41800,Describe,0.0012717321515083313
52,2317,Ġlarge,3,1,621,437,Ġthis,0.0006528413505293429
53,285,Ġand,1,2,622,3324,Ġimage,0.0012148898094892502
53,285,Ġand,2,0,620,41800,Describe,0.001138688181526959
53,285,Ġand,3,1,621,437,Ġthis,0.0005266179796308279
54,46130,Ġexpressive,1,2,622,3324,Ġimage,0.001365241943858564
54,46130,Ġexpressive,2,0,620,41800,Describe,0.0011172409867867827
54,46130,Ġexpressive,3,1,621,437,Ġthis,0.0006086058565415442
55,13,.,1,2,622,3324,Ġimage,0.0014142070431262255
55,13,.,2,0,620,41800,Describe,0.0011583756422623992
55,13,.,3,1,621,437,Ġthis,0.0006008605705574155
56,429,ĠThe,1,2,622,3324,Ġimage,0.003472918178886175
56,429,ĠThe,2,0,620,41800,Describe,0.0026780301705002785
56,429,ĠThe,3,1,621,437,Ġthis,0.0013638134114444256
57,4140,Ġbackground,1,2,622,3324,Ġimage,0.0049316235817968845
57,4140,Ġbackground,2,0,620,41800,Describe,0.001801894512027502
57,4140,Ġbackground,3,1,621,437,Ġthis,0.001205900334753096
58,317,Ġis,1,2,622,3324,Ġimage,0.003410894190892577
58,317,Ġis,2,0,620,41800,Describe,0.0015871168579906225
58,317,Ġis,3,1,621,437,Ġthis,0.0009736390202306211
59,245,Ġa,1,2,622,3324,Ġimage,0.00241201464086771
59,245,Ġa,2,0,620,41800,Describe,0.0013298422563821077
59,245,Ġa,3,1,621,437,Ġthis,0.0007558591896668077
60,2156,Ġlight,1,2,622,3324,Ġimage,0.0022605517879128456
60,2156,Ġlight,2,0,620,41800,Describe,0.0011505495058372617
60,2156,Ġlight,3,1,621,437,Ġthis,0.0006812277133576572
61,15886,Ġwash,1,2,622,3324,Ġimage,0.0018583846976980567
61,15886,Ġwash,2,0,620,41800,Describe,0.0011639224831014872
61,15886,Ġwash,3,1,621,437,Ġthis,0.0006066422211006284
62,280,Ġof,1,2,622,3324,Ġimage,0.0014046251308172941
62,280,Ġof,2,0,620,41800,Describe,0.0011517793172970414
62,280,Ġof,3,1,621,437,Ġthis,0.0005273701972328126
63,84596,Ġpastel,1,2,622,3324,Ġimage,0.0013155773049220443
63,84596,Ġpastel,2,0,620,41800,Describe,0.0010296631371602416
63,84596,Ġpastel,3,1,621,437,Ġthis,0.00057722203200683
64,8247,Ġcolors,1,2,622,3324,Ġimage,0.0018616003217175603
64,8247,Ġcolors,2,0,620,41800,Describe,0.0011053176131099463
64,8247,Ġcolors,3,1,621,437,Ġthis,0.0005850461893714964
65,11,",",1,2,622,3324,Ġimage,0.0017441639211028814
65,11,",",2,0,620,41800,Describe,0.0012794159119948745
65,11,",",3,1,621,437,Ġthis,0.0007097939378581941
66,13516,Ġcomplement,1,2,622,3324,Ġimage,0.002382839797064662
66,13516,Ġcomplement,2,0,620,41800,Describe,0.0017439739312976599
66,13516,Ġcomplement,3,1,621,437,Ġthis,0.000913527503143996
67,272,ing,1,2,622,3324,Ġimage,0.0016083309892565012
67,272,ing,2,0,620,41800,Describe,0.001162109081633389
67,272,ing,3,1,621,437,Ġthis,0.0007727076881565154
68,254,Ġthe,1,2,622,3324,Ġimage,0.002381761558353901
68,254,Ġthe,2,0,620,41800,Describe,0.001142985769547522
68,254,Ġthe,3,1,621,437,Ġthis,0.0009112284169532359
69,7705,Ġoverall,1,2,622,3324,Ġimage,0.0025968332774937153
69,7705,Ġoverall,2,0,620,41800,Describe,0.0009677855996415019
69,7705,Ġoverall,3,1,621,437,Ġthis,0.000695450755301863
70,8771,Ġgentle,1,2,622,3324,Ġimage,0.00339755741879344
70,8771,Ġgentle,2,0,620,41800,Describe,0.001343897427432239
70,8771,Ġgentle,3,1,621,437,Ġthis,0.0009581538615748286
71,285,Ġand,1,2,622,3324,Ġimage,0.0034821948502212763
71,285,Ġand,2,0,620,41800,Describe,0.001351310289464891
71,285,Ġand,3,1,621,437,Ġthis,0.0008967022877186537
72,69060,Ġdreamy,1,2,622,3324,Ġimage,0.0025710498448461294
72,69060,Ġdreamy,2,0,620,41800,Describe,0.0014095453079789877
72,69060,Ġdreamy,3,1,621,437,Ġthis,0.0007767638307996094
73,29747,Ġaesthetic,1,2,622,3324,Ġimage,0.005477861501276493
73,29747,Ġaesthetic,2,0,620,41800,Describe,0.0015569300157949328
73,29747,Ġaesthetic,3,1,621,437,Ġthis,0.001219467376358807
74,280,Ġof,1,2,622,3324,Ġimage,0.005067756399512291
74,280,Ġof,2,0,620,41800,Describe,0.001987264957278967
74,280,Ġof,3,1,621,437,Ġthis,0.0015757953515276313
75,254,Ġthe,1,2,622,3324,Ġimage,0.00564406206831336
75,254,Ġthe,2,1,621,437,Ġthis,0.001803712104447186
75,254,Ġthe,3,0,620,41800,Describe,0.0016697448445484042
76,28329,Ġartwork,1,2,622,3324,Ġimage,0.008194205351173878
76,28329,Ġartwork,2,0,620,41800,Describe,0.0016403180779889226
76,28329,Ġartwork,3,1,621,437,Ġthis,0.0015347602311521769
77,13,.,1,2,622,3324,Ġimage,0.005559572484344244
77,13,.,2,0,620,41800,Describe,0.0028661058750003576
77,13,.,3,1,621,437,Ġthis,0.0013315018732100725
78,100001,<｜end▁of▁sentence｜>,1,2,622,3324,Ġimage,0.00443290313705802
78,100001,<｜end▁of▁sentence｜>,2,0,620,41800,Describe,0.004045631270855665
78,100001,<｜end▁of▁sentence｜>,3,1,621,437,Ġthis,0.0019120353972539306
